Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Prober,2.851111111111111,0.3051111111111111,3.0,0.0,0.24911111111111112,0.056,0.3522222222222222,0.3426666666666666,0.7857142857142857,0.6016806722689075,0.7148605921241736,0.0050434506681667065
1,Spiteful Tit For Tat,2.736888888888889,0.5573333333333333,3.0,1.0,0.5555555555555556,0.0017777777777777779,0.1568888888888889,0.2857777777777778,1.0,0,0.33730815363468425,0
2,Defector,2.5217777777777775,0.0,9.0,0.0,0.0,0.0,0.38044444444444436,0.6195555555555556,0,0,0,0
3,Grudger,2.5175555555555555,0.4457777777777778,4.0,1.0,0.44466666666666665,0.0011111111111111111,0.15733333333333333,0.3968888888888889,1.0,0,0,0
4,Tit For Tat,2.502222222222222,0.7133333333333334,0.0,1.0,0.6342222222222224,0.0791111111111111,0.07822222222222222,0.20844444444444446,1.0,0,1.0,0
5,"Mock Player: [C, D, D, C, D, C, D, D, D, D, D, D, D, D, D, D, C, D, C, D, D, D, C, C, C, D, C, D, D, D, D, D, D, D, C, D, C, D, C, D, C, D, D, D, D, C, D, D, D, C, D, D, D, C, C, D, D, D, D, D, D, D, C, D]",2.255777777777778,0.282,6.0,1.0,0.11022222222222221,0.1717777777777778,0.30177777777777776,0.41622222222222227,0.23060271555438863,0.14337564640485662,0.3768491836421279,0.2877243159835291
6,"Mock Player: [D, C, D, C, D, D, C, D, C, D, C, C, D, C, C, C, C, D, D, D, C, D, C, D, C, C, C, C, C, D, D, C, D, C, C, C, D, C, D, D, C, C, D, D, D, D, C, D, D, C, D, D, D, C, C, D, D, D, D, D, D, D, D, D]",2.084,0.444,5.0,0.0,0.192,0.252,0.23800000000000004,0.31800000000000006,0.4553299901504852,0.42358043721341626,0.5851351900698909,0.44143568400295596
7,Cooperator,1.806,1.0,0.0,1.0,0.6019999999999999,0.39799999999999996,0.0,0.0,1.0,1.0,0,0
8,Cooperator,1.806,1.0,0.0,1.0,0.6019999999999999,0.39799999999999996,0.0,0.0,1.0,1.0,0,0
9,"Mock Player: [D, C, C, D, D, C, C, C, C, C, C, C, D, D, D, C, C, C, C, D, C, C, C, C, D, C, C, D, C, C, C, C, C, C, C, D, D, C, C, C, C, D, D, C, C, D, D, C, C, C, C, D, C, D, C, C, D, C, D, C, C, C, D, C]",1.5764444444444445,0.688,3.0,0.0,0.25911111111111107,0.42888888888888893,0.12177777777777779,0.1902222222222222,0.6405578556146828,0.7019092068263194,0.6799732662772826,0.7268275381153109
